time,altitude
0,0.0424173
500,0.0635555
1000,0.253799
1500,0.0318482
2000,0.0318482
2500,-0.0844118
3000,0.000140921
3500,0.0635555
4000,0.01071
4500,-0.0844118
5000,0.01071
5500,-0.10555
6000,0.01071
6500,-0.0209973
7000,-0.0209973
7500,-0.126688
8000,-0.211241
8500,0.000140921
9000,0.000140921
9500,-0.10555
10000,-0.147826
10500,-0.126688
11000,-0.0844118
11500,-0.147826
12000,-0.0632736
12500,-0.126688
13000,-0.0632736
13500,0.0529864
14000,-0.147826
14500,-0.190103
15000,-0.232379
15500,-0.0632736
16000,-0.0844118
16500,0.0424173
17000,-0.0844118
17500,-0.10555
18000,-0.126688
18500,-0.10555
19000,-0.0844118
19500,0.000140921
20000,-0.0421355
20500,-0.0844118
21000,0.000140921
21500,-0.10555
22000,-0.147826
22500,-0.190103
23000,-0.0421355
23500,-0.147826
24000,-0.126688
24500,-0.190103
25000,-0.10555
25500,-0.10555
26000,-0.126688
26500,-0.10555
27000,0.0
