time,altitude
0,0.243899
500,0.296745
1000,0.23333
1500,0.254469
2000,0.243899
2500,0.23333
3000,0.169916
3500,0.23333
4000,0.254469
4500,0.339021
5000,0.47642
5500,0.47642
6000,0.370729
6500,0.370729
7000,0.370729
7500,0.486989
8000,0.497558
8500,0.47642
9000,0.307314
9500,0.36016
10000,0.381298
10500,0.328452
11000,0.286176
11500,0.339021
12000,0.148778
12500,0.148778
13000,0.169916
13500,0.307314
14000,0.286176
14500,0.307314
15000,0.296745
15500,0.339021
16000,0.317883
16500,0.339021
17000,0.317883
17500,0.423574
18000,0.423574
18500,0.34959
19000,0.36016
19500,0.370729
20000,0.286176
20500,0.370729
21000,0.444712
21500,0.423574
22000,0.46585
22500,0.603249
23000,0.529265
23500,0.423574
24000,0.391867
24500,0.413005
25000,0.423574
25500,0.391867
26000,0.212192
26500,0.307314
27000,0.34959
27500,0.243899
28000,0.307314
28500,0.265038
29000,0.23333
29500,0.23333
30000,0.275607
30500,0.169916
31000,0.212192
31500,0.286176
32000,0.286176
32500,0.286176
33000,0.317883
33500,0.243899
34000,0.339021
34500,0.265038
35000,0.286176
35500,0.265038
36000,0.23333
36500,0.222761
37000,0.391867
37500,0.339021
38000,0.191054
38500,0.286176
39000,0.23333
39500,0.0219485
40000,0.074794
40500,-0.0837425
41000,0.148778
41500,0.074794
42000,0.0959322
42500,0.0325176
43000,0.0536558
43500,0.0642249
44000,0.0536558
44500,-0.0203279
45000,0.106501
45500,0.243899
46000,0.286176
46500,0.34959
47000,0.434143
47500,0.413005
48000,0.444712
48500,0.423574
49000,0.444712
49500,0.58211
50000,0.370729
50500,0.518696
51000,0.634956
51500,0.656094
52000,0.719509
52500,0.560972
53000,0.47642
53500,0.518696
54000,0.624387
54500,0.603249
55000,0.730078
55500,0.656094
56000,0.70894
56500,0.58211
57000,0.761785
57500,0.518696
58000,0.730078
58500,0.59268
59000
