time,altitude
500,-0.063485
1000,-0.1269
1500,-0.169176
2000,-0.1269
2500,-0.0846232
3000,-0.148038
3500,-0.253729
4000,-0.190314
4500,-0.232591
5000,-0.338282
5500,-0.380558
6000,0.179604
7000,0.972286
7500,0.845457
8000,0.676352
8500,0.644644
9000,0.602368
9500,0.718628
10000,0.845457
10500,0.591799
11000,0.560091
11500,0.496677
12000,0.528384
12500,0.306433
13000,0.486108
13500,0.528384
14000,0.507246
14500,0.708059
15000,0.686921
15500,0.528384
16000,0.422693
16500,0.23245
17000,0.126759
17500,-0.063485
18000,-0.105761
18500,-0.0846232
19000,-0.169176
19500,-0.211452
20000,-0.148038
20500,-0.105761
21000,-0.211452
21500,-0.1269
22000,-0.0846232
22500,-0.169176
23000,-0.232591
23500,-0.0846232
24000,-0.0423468
24500,0.0422059
25000,-0.0846232
25500,-0.148038
26000,-0.1269
26500,-0.169176
27000,-0.148038
27500,-7.04606e-05
28000,-0.169176
28500,-0.105761
29000,-0.232591
29500,-0.253729
30000,-0.190314
30500,-0.232591
31000,-0.274867
31500,-0.274867
32000,-0.296005
32500,-0.338282
33000,-0.486249
33500,-0.486249
34000,-0.507387
34500,-0.465111
35000,-0.465111
35500,-0.253729
36000,-0.232591
36500,-0.380558
37000,-0.401696
37500,-0.35942
38000,-0.253729
38500,-0.253729
39000,-0.380558
39500,-0.486249
40000,-0.549663
40500,-0.465111
41000,-0.486249
41500,-0.486249
42000,-0.613078
42500,-0.697631
43000,-0.718769
43500,-0.718769
44000,-0.613078
44500,-0.296005
45000,-0.401696
45500,-0.401696
46000,-0.443972
46500,-0.528525
47000,-0.465111
47500,-0.422834
48000,-0.465111
48500,-0.465111
49000,-0.549663
49500,-0.613078
50000,-0.634216
50500,-0.443972
51000,-0.443972
51500,-0.380558
52000,-0.401696
52500,-0
