time,altitude
15000,0.10636
15500,0.0112385
16000,0.000669376
16500,0.0323767
17000,0.0535149
17500,0.074653
18000,0.0323767
18500,0.0957912
19000,0.074653
19500,2.76977
20000,7.14538
20500,8.97383
21000,8.46651
21500,6.9657
22000,5.23237
22500,3.63644
23000,1.734
23500,0.476279
24000,-0.443233
24500,-0.422094
25000,-0.379818
25500,-0.422094
26000,-0.316403
26500,-0.337542
27000,-0.337542
27500,-0.35868
28000,-0.274127
28500,-0.35868
29000,-0.400956
29500,-0.422094
30000,-0.527785
