time,altitude
0,0.360371
500,0.318094
1000,0.349802
1500,0.402647
2000,0.381509
2500,0.244111
3000,0.233542
3500,0.296956
4000,0.37094
4500,0.286387
5000,0.37094
5500,0.328664
6000,0.328664
6500,0.328664
7000,0.402647
7500,0.402647
8000,0.476631
8500,0.423785
9000,0.296956
9500,0.392078
10000,0.296956
10500,0.191265
11000,0.191265
11500,0.233542
12000,0.148989
12500,0.307525
13000,0.159558
13500,0.222973
14000,0.244111
14500,0.265249
15000,0.275818
15500,0.0644362
16000,0.00102168
16500,0.0538671
17000,0.212404
17500,0.222973
18000,0.201834
18500,0.117282
19000,0.13842
19500,0.244111
20000,0.117282
20500,0.307525
21000,0.349802
21500,0.180696
22000,0.222973
22500,0.275818
23000,0.222973
23500,0.0855744
24000,0.159558
24500,0.170127
25000,0.244111
25500,0.265249
26000,0.265249
26500,0.307525
27000,0.180696
27500,0.180696
28000,0.212404
28500,0.148989
29000,0.170127
29500,0.0750053
30000,0.201834
30500,0.191265
31000,-0.0412547
31500,4.5563
32000,7.72703
32500,8.85792
33000,8.09694
335
