time,altitude
0,0.275712
500,0.201729
1000,0.286281
1500,0.201729
2000,0.254574
2500,0.201729
3000,0.244005
3500,0.360265
4000,0.402542
4500,0.328558
5000,0.328558
5500,0.476525
6000,0.413111
6500,0.444818
7000,0.497663
7500,0.413111
8000,0.370834
8500,0.339127
9000,0.42368
9500,0.381403
10000,0.434249
10500,0.455387
11000,0.349696
11500,0.339127
12000,0.265143
12500,0.296851
13000,0.222867
13500,0.222867
14000,0.233436
14500,0.233436
15000,0.254574
15500,0.339127
16000,0.349696
16500,0.328558
17000,0.476525
17500,0.497663
18000,0.529371
18500,0.613924
19000,0.645631
19500,0.497663
20000,0.444818
20500,0.360265
21000,0.402542
21500,0.413111
22000,0.434249
22500,0.476525
23000,0.571647
23500,0.508233
24000,0.740753
24500,0.846444
25000,0.814736
25500,0.77246
26000,0.666769
26500,0.6562
27000,0.687907
27500,0.783029
28000,0.740753
28500,0.709045
29000,0.698476
29500,0.582216
30000,0.645631
30500,0.624493
31000,0.465956
31500,0.444818
32000,0.317989
32500,0.434249
33000,0.391972
33500,0.360265
34000,0.370834
34500,0.30742
35000,0.360265
35500,0.275712
36000,0.233436
36500,0.328558
37000,0.233436
37500,0.222867
38000,0.222867
38500,0.254574
39000,0.19116
39500,0.127745
40000,0.0960378
40500,2.37896
41000,6.76514
41500,8.96351
42000,9.
